"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"CONFIGURATION_POLE-THROW";"CONTACT_CURRENT_RATING";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"TE_PURCHASE_URL";
"Q4";"FDN327N";"FDN327N";"SSOT-3";"N-Channel MOSFET";"Unavailable";"";"";"";" N-Channel 20V 70 mOhm 1.8 V Specified PowerTrench Mosfet - SSOT-3 ";"";"";"";"";"";"ON Semiconductor";"";"";"FDN327N";"";"";"";"SC-59 ON Semiconductor";"";"None";"";"";"";"";
"Q5";"FDN327N";"FDN327N";"SSOT-3";"N-Channel MOSFET";"Unavailable";"";"";"";" N-Channel 20V 70 mOhm 1.8 V Specified PowerTrench Mosfet - SSOT-3 ";"";"";"";"";"";"ON Semiconductor";"";"";"FDN327N";"";"";"";"SC-59 ON Semiconductor";"";"None";"";"";"";"";
"Q6";"MMBT2222A";"MMBT2222A";"SOT23";"2N2222 General Purpose NPN Transistor";"Unavailable";"";"";"";" Bipolar _BJT_ Transistor NPN 40V 600mA 300MHz 310mW Surface Mount SOT-23-3 ";"";"";"";"";"";"STMicroelectronics";"";"";"MMBT2222A";"";"";"";"TO-236-3 Taitron";"";"None";"";"";"";"";
"Q7";"MMBT2222A";"MMBT2222A";"SOT23";"2N2222 General Purpose NPN Transistor";"Unavailable";"";"";"";" Bipolar _BJT_ Transistor NPN 40V 600mA 300MHz 310mW Surface Mount SOT-23-3 ";"";"";"";"";"";"STMicroelectronics";"";"";"MMBT2222A";"";"";"";"TO-236-3 Taitron";"";"None";"";"";"";"";
"R1";"CRCW0603100KFKEAC";"CRCW0603100KFKEAC";"RESC1608X55N";"Res Thick Film 0603 100K Ohm 1% 1/10W Â±100ppm/Â°C Molded SMD Paper T/R";"Unavailable";"";"";"";" Viscrcw0603100kfkeac Chip Res 0603 100k ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW0603100KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R2";"CRCW0603100KFKEAC";"CRCW0603100KFKEAC";"RESC1608X55N";"Res Thick Film 0603 100K Ohm 1% 1/10W Â±100ppm/Â°C Molded SMD Paper T/R";"Unavailable";"";"";"";" Viscrcw0603100kfkeac Chip Res 0603 100k ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW0603100KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R3";"CRCW0603100KFKEAC";"CRCW0603100KFKEAC";"RESC1608X55N";"Res Thick Film 0603 100K Ohm 1% 1/10W Â±100ppm/Â°C Molded SMD Paper T/R";"Unavailable";"";"";"";" Viscrcw0603100kfkeac Chip Res 0603 100k ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW0603100KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R4";"CRCW0603270KFKEAC";"CRCW0603270KFKEAC";"RESC1608X55N";"RES 270K OHM 1% 1/10W 0603";"Unavailable";"";"";"";" Res Thick Film 0603 270K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R ";"";"";"";"";"";"Vishay";"";"";"CRCW0603270KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R5";"CRCW06031K00FKEAC";"CRCW06031K00FKEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 100 1K0 1% ET1 ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW06031K00FKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R6";"CRCW06031K00FKEAC";"CRCW06031K00FKEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 100 1K0 1% ET1 ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW06031K00FKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
